Profile 1,,,Profile 2,
depth,temperature,,depth,temperature
7.9,20.85,,2.979128993,26.302
9.9,20.849,,4.965190877,26.303
11.9,20.855,,6.951233475,26.29
13.9,20.86,,8.937256786,26.265
15.9,20.859,,10.92326081,26.208
17.9,20.86,,12.90924556,26.086
19.9,20.864,,14.89521102,26.015
21.8,20.865,,16.8811572,25.999
23.8,20.866,,18.86708409,25.987
25.8,20.865,,20.85299172,25.831
27.8,20.866,,22.83888006,24.717
29.8,20.866,,24.82474912,24.348
31.8,20.868,,26.81059892,23.68
33.8,20.869,,28.79642943,23.141
35.7,20.869,,30.78224068,22.76
37.7,20.869,,32.76803265,22.472
39.7,20.87,,34.75380535,22.142
41.7,20.87,,36.73955878,21.996
43.7,20.87,,38.72529295,21.865
45.7,20.87,,40.71100785,21.683
47.7,20.871,,42.69670348,21.524
49.6,20.871,,44.68237984,21.235
51.6,20.872,,46.66803695,21.095
53.6,20.873,,48.65367479,21.011
55.6,20.874,,50.63929337,20.886
57.6,20.874,,52.62489269,20.79
59.6,20.874,,54.61047275,20.702
61.6,20.875,,56.59603356,20.581
63.5,20.876,,58.58157511,20.531
65.5,20.876,,60.5670974,20.495
67.5,20.877,,62.55260044,20.436
69.5,20.876,,64.53808423,20.283
71.5,20.875,,66.5235488,20.19
73.5,20.875,,68.508994,20.116
75.5,20.876,,70.49442008,20.084
77.4,20.875,,72.4798269,20.05
79.4,20.875,,74.46521441,19.985
81.4,20.875,,76.45058271,19.917
83.4,20.876,,78.43593176,19.853
85.4,20.876,,80.42126156,19.779
87.4,20.876,,82.40657213,19.714
89.4,20.877,,84.39186345,19.67
91.3,20.877,,86.37713554,19.611
93.3,20.877,,88.3623884,19.555
95.3,20.877,,90.347622,19.52
97.3,20.877,,92.33283637,19.449
99.3,20.877,,94.31803151,19.41
101.3,20.878,,96.30320741,19.376
103.3,20.875,,98.28836408,19.348
105.2,20.869,,100.2735015,19.302
107.2,20.862,,102.2586197,19.28
109.2,20.86,,104.2437187,19.266
111.2,20.848,,106.2287985,19.235
113.2,20.843,,108.213859,19.213
115.2,20.835,,110.1989003,19.201
117.1,20.827,,112.1839224,19.186
119.1,20.772,,114.1689252,19.142
121.1,20.677,,116.1539089,19.115
123.1,20.338,,118.1388733,19.095
125.1,20.252,,120.1238185,19.074
127.1,20.161,,122.1087444,19.052
129.1,20.091,,124.0936512,19.041
131.0,19.911,,126.078539,19.034
133.0,19.856,,128.0634071,19.021
135.0,19.793,,130.0482562,18.995
137.0,19.653,,132.0330861,18.969
139.0,19.592,,134.0178968,18.945
141.0,19.533,,136.0026882,18.941
143.0,19.499,,137.9874605,18.94
144.9,19.44,,139.9722136,18.924
146.9,19.414,,141.9569474,18.902
148.9,19.37,,143.9416621,18.885
150.9,19.315,,145.9263575,18.866
152.9,19.265,,147.9110338,18.844
154.9,19.267,,149.8956908,18.819
156.8,19.231,,151.8803287,18.806
158.8,19.184,,153.8649473,18.776
160.8,19.126,,155.8495467,18.764
162.8,19.104,,157.834127,18.749
164.8,19.084,,159.818688,18.739
166.8,19.073,,161.8032299,18.742
168.8,19.07,,163.7877526,18.733
170.7,19.045,,165.772256,18.72
172.7,19.022,,167.7567403,18.702
174.7,19.025,,169.7412054,18.68
176.7,18.995,,171.7256513,18.671
178.7,18.917,,173.710078,18.658
180.7,18.927,,175.6944855,18.65
182.6,18.917,,177.6788739,18.631
184.6,18.915,,179.663243,18.62
186.6,18.891,,181.647593,18.617
188.6,18.869,,183.6319238,18.605
190.6,18.844,,185.6162354,18.598
192.6,18.791,,187.6005279,18.591
194.5,18.78,,189.5848011,18.585
196.5,18.78,,191.5690552,18.58
198.5,18.761,,193.5532901,18.574
200.5,18.751,,195.5375058,18.57
202.5,18.731,,197.5217024,18.564
204.5,18.712,,199.5058798,18.56
206.5,18.681,,201.490038,18.552
208.4,18.673,,203.474177,18.545
210.4,18.649,,205.4582969,18.537
212.4,18.649,,207.4423976,18.528
214.4,18.616,,209.4264791,18.517
216.4,18.578,,211.4105415,18.511
218.4,18.561,,213.3945847,18.517
220.3,18.542,,215.3786088,18.509
222.3,18.529,,217.3626136,18.502
224.3,18.519,,219.3465994,18.496
226.3,18.52,,221.3305659,18.486
228.3,18.502,,223.3145133,18.474
230.3,18.483,,225.2984416,18.459
232.2,18.468,,227.2823507,18.453
234.2,18.469,,229.2662406,18.443
236.2,18.468,,231.2501114,18.424
238.2,18.457,,233.2339631,18.402
240.2,18.438,,235.2177955,18.389
242.2,18.421,,237.2016089,18.372
244.1,18.417,,239.185403,18.353
246.1,18.412,,241.1691781,18.337
248.1,18.405,,243.152934,18.327
250.1,18.405,,245.1366707,18.32
252.1,18.404,,247.1203884,18.312
254.1,18.395,,249.104087,18.303
256.1,18.391,,251.0877661,18.29
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
